Country,region,continent,alliance,metric,value
Honduras,Central America,North America,Non-NATO,major_serviceable_airports_by_country,129
Ivory Coast,Africa,Africa,Non-NATO,major_serviceable_airports_by_country,29
Guatemala,Central America,North America,Non-NATO,major_serviceable_airports_by_country,58
Mali,Africa,Africa,Non-NATO,major_serviceable_airports_by_country,30
Kyrgyzstan,Asia,Asia,Non-NATO,major_serviceable_airports_by_country,28
Laos,Southeast Asia,Asia,Non-NATO,major_serviceable_airports_by_country,18
Estonia,Northern Europe,Europe,NATO,major_serviceable_airports_by_country,26
Tajikistan,Asia,Asia,Non-NATO,major_serviceable_airports_by_country,19
Zambia,Africa,Africa,Non-NATO,major_serviceable_airports_by_country,119
Ghana,Africa,Africa,Non-NATO,major_serviceable_airports_by_country,11
Zimbabwe,Africa,Africa,Non-NATO,major_serviceable_airports_by_country,144
North Macedonia,Balkans,Europe,Non-NATO,major_serviceable_airports_by_country,13
South Sudan,Africa,Africa,Non-NATO,major_serviceable_airports_by_country,82
Uganda,Africa,Africa,Non-NATO,major_serviceable_airports_by_country,39
Lebanon,Middle East,Asia,Non-NATO,major_serviceable_airports_by_country,8
Namibia,Africa,Africa,Non-NATO,major_serviceable_airports_by_country,255
Luxembourg,Western Europe,Europe,NATO,major_serviceable_airports_by_country,3
Afghanistan,Asia,Asia,Non-NATO,major_serviceable_airports_by_country,67
Niger,Africa,Africa,Non-NATO,major_serviceable_airports_by_country,26
Eritrea,Africa,Africa,Non-NATO,major_serviceable_airports_by_country,10
Republic of the Congo,Africa,Africa,Non-NATO,major_serviceable_airports_by_country,56
Botswana,Africa,Africa,Non-NATO,major_serviceable_airports_by_country,122
Mauritania,Africa,Africa,Non-NATO,major_serviceable_airports_by_country,25
Dominican Republic,Central America,North America,Non-NATO,major_serviceable_airports_by_country,32
Senegal,Africa,Africa,Non-NATO,major_serviceable_airports_by_country,19
Nepal,Asia-Pacific,Asia,Non-NATO,major_serviceable_airports_by_country,51
Montenegro,Balkans,Europe,NATO,major_serviceable_airports_by_country,5
El Salvador,Central America,North America,Non-NATO,major_serviceable_airports_by_country,27
Burkina Faso,Africa,Africa,Non-NATO,major_serviceable_airports_by_country,49
Madagascar,Africa,Africa,Non-NATO,major_serviceable_airports_by_country,91
Nicaragua,Central America,North America,Non-NATO,major_serviceable_airports_by_country,39
Bosnia and Herzegovina,Balkans,Europe,Non-NATO,major_serviceable_airports_by_country,13
Gabon,Africa,Africa,Non-NATO,major_serviceable_airports_by_country,40
Moldova,Eastern Europe,Europe,Non-NATO,major_serviceable_airports_by_country,11
Iceland,Scandinavia,Europe,NATO,major_serviceable_airports_by_country,83
Panama,Central America,North America,Non-NATO,major_serviceable_airports_by_country,76
Beliz,Central America,North America,Non-NATO,major_serviceable_airports_by_country,27
Liberia,Africa,Africa,Non-NATO,major_serviceable_airports_by_country,99
Suriname,Northern South America,South America,Non-NATO,major_serviceable_airports_by_country,55
Sierra Leone,Africa,Africa,Non-NATO,major_serviceable_airports_by_country,8
Kosovo,Southern Europe,Europe,Non-NATO,major_serviceable_airports_by_country,4
Somalia,Africa,Africa,Non-NATO,major_serviceable_airports_by_country,38
Central African Republic,Africa,Africa,Non-NATO,major_serviceable_airports_by_country,43
Benin,Africa,Africa,Non-NATO,major_serviceable_airports_by_country,10
Bhutan,Asia,Asia,Non-NATO,major_serviceable_airports_by_country,4
United States,Northern America,North America,NATO,labor_force_by_country,170549000
Russia,Eastern Europe,Europe,Non-NATO,labor_force_by_country,72408000
China,Asia-Pacific,Asia,Non-NATO,labor_force_by_country,779246000
India,Asia-Pacific,Asia,Non-NATO,labor_force_by_country,593729000
South Korea,Asia-Pacific,Asia,Non-NATO,labor_force_by_country,29611000
United Kingdom,Northern Europe,Europe,NATO,labor_force_by_country,35275000
France,Western Europe,Europe,NATO,labor_force_by_country,31825000
Japan,Asia-Pacific,Asia,Non-NATO,labor_force_by_country,69349000
Turkiye,Middle East,Asia,NATO,labor_force_by_country,35071000
Italy,Southern Europe,Europe,NATO,labor_force_by_country,25669000
Brazil,Latin America,South America,Non-NATO,labor_force_by_country,108695000
Pakistan,Asia-Pacific,Asia,Non-NATO,labor_force_by_country,80990000
Indonesia,Southeast Asia,Asia,Non-NATO,labor_force_by_country,140931000
Germany,Central Europe,Europe,NATO,labor_force_by_country,44784000
Israel,Middle East,Asia,Non-NATO,labor_force_by_country,4554000
Iran,Middle East,Asia,Non-NATO,labor_force_by_country,29159000
Spain,Southern Europe,Europe,NATO,labor_force_by_country,24108000
Australia,Asia-Pacific,Oceania,Non-NATO,labor_force_by_country,14501000
Egypt,Africa,Africa,Non-NATO,labor_force_by_country,33431000
Ukraine,Eastern Europe,Europe,Non-NATO,labor_force_by_country,20312000
Poland,Eastern Europe,Europe,NATO,labor_force_by_country,18387000
Taiwan,Asia-Pacific,Asia,Non-NATO,labor_force_by_country,11498000
Vietnam,Southeast Asia,Asia,Non-NATO,labor_force_by_country,56149000
Saudi Arabia,Middle East,Asia,Non-NATO,labor_force_by_country,16934000
Thailand,Southeast Asia,Asia,Non-NATO,labor_force_by_country,40814000
Algeria,Africa,Africa,Non-NATO,labor_force_by_country,13425000
Sweden,Scandinavia,Europe,NATO,labor_force_by_country,5825000
Canada,Northern America,North America,NATO,labor_force_by_country,22110000
Singapore,Southeast Asia,Asia,Non-NATO,labor_force_by_country,3619000
Greece,Southern Europe,Europe,NATO,labor_force_by_country,4645000
Nigeria,Africa,Africa,Non-NATO,labor_force_by_country,75721000
Mexico,Mexico,North America,Non-NATO,labor_force_by_country,60042000
Argentina,Latin America,South America,Non-NATO,labor_force_by_country,21906000
North Korea,Asia-Pacific,Asia,Non-NATO,labor_force_by_country,15837000
Bangladesh,Asia-Pacific,Asia,Non-NATO,labor_force_by_country,74914000
Netherlands,Western Europe,Europe,NATO,labor_force_by_country,9999000
Myanmar,Southeast Asia,Asia,Non-NATO,labor_force_by_country,22884000
Norway,Scandinavia,Europe,NATO,labor_force_by_country,3009000
Portugal,Southern Europe,Europe,NATO,labor_force_by_country,5140900
South Africa,Africa,Africa,Non-NATO,labor_force_by_country,25158000
Philippines,Southeast Asia,Asia,Non-NATO,labor_force_by_country,49477000
Malaysia,Southeast Asia,Asia,Non-NATO,labor_force_by_country,17308000
Iraq,Middle East,Asia,Non-NATO,labor_force_by_country,11812000
Switzerland,Central Europe,Europe,Non-NATO,labor_force_by_country,4991000
Denmark,Scandinavia,Europe,NATO,labor_force_by_country,3180000
Colombia,Latin America,South America,Non-NATO,labor_force_by_country,26003000
Chile,Latin America,South America,Non-NATO,labor_force_by_country,9848000
Finland,Scandinavia,Europe,NATO,labor_force_by_country,2880000
Peru,Latin America,South America,Non-NATO,labor_force_by_country,18529000
Venezuela,Latin America,South America,Non-NATO,labor_force_by_country,11548000
Romania,Eastern Europe,Europe,Non-NATO,labor_force_by_country,8282000
Ethiopia,Africa,Africa,Non-NATO,labor_force_by_country,61664000
Czechia,Eastern Europe,Europe,NATO,labor_force_by_country,5502000
United Arab Emirates,Middle East,Asia,Non-NATO,labor_force_by_country,6668000
Hungary,Eastern Europe,Europe,NATO,labor_force_by_country,5006000
Angola,Africa,Africa,Non-NATO,labor_force_by_country,15223000
Kazakhstan,Asia,Asia,Non-NATO,labor_force_by_country,9587000
Uzbekistan,Asia,Asia,Non-NATO,labor_force_by_country,14270000
Morocco,Africa,Africa,Non-NATO,labor_force_by_country,12284000
Azerbaijan,Asia,Asia,Non-NATO,labor_force_by_country,5473000
Belgium,Western Europe,Europe,NATO,labor_force_by_country,5432000
Bulgaria,Eastern Europe,Europe,NATO,labor_force_by_country,3103000
Serbia,Balkans,Europe,Non-NATO,labor_force_by_country,3333000
Syria,Middle East,Asia,Non-NATO,labor_force_by_country,6315000
Ecuador,Latin America,South America,Non-NATO,labor_force_by_country,8893000
Democratic Republic of the Congo,Africa,Africa,Non-NATO,labor_force_by_country,35983000
Cuba,Central America,North America,Non-NATO,labor_force_by_country,5317000
Austria,Central Europe,Europe,Non-NATO,labor_force_by_country,4825000
Sri Lanka,Asia-Pacific,Asia,Non-NATO,labor_force_by_country,8707000
Belarus,Eastern Europe,Europe,Non-NATO,labor_force_by_country,4956000
Slovakia,Eastern Europe,Europe,NATO,labor_force_by_country,2823000
Qatar,Middle East,Asia,Non-NATO,labor_force_by_country,2035000
Sudan,Africa,Africa,Non-NATO,labor_force_by_country,13590000
Croatia,Balkans,Europe,NATO,labor_force_by_country,1744000
Jordan,Middle East,Asia,Non-NATO,labor_force_by_country,3063000
Libya,Africa,Africa,Non-NATO,labor_force_by_country,2398000
Turkmenistan,Asia,Asia,Non-NATO,labor_force_by_country,2163000
Albania,Balkans,Europe,NATO,labor_force_by_country,1388000
Kuwait,Gulf Powers,Asia,Non-NATO,labor_force_by_country,2463000
Bolivia,Latin America,South America,Non-NATO,labor_force_by_country,6114000
Bahrain,Gulf Powers,Asia,Non-NATO,labor_force_by_country,855000
Oman,Gulf Powers,Asia,Non-NATO,labor_force_by_country,2316000
Kenya,Africa,Africa,Non-NATO,labor_force_by_country,25502000
Chad,Africa,Africa,Non-NATO,labor_force_by_country,5806000
Yemen,Middle East,Asia,Non-NATO,labor_force_by_country,6883000
New Zealand,Asia-Pacific,Oceania,Non-NATO,labor_force_by_country,3068000
Paraguay,Latin America,South America,Non-NATO,labor_force_by_country,3469000
Lithuania,Northern Europe,Europe,NATO,labor_force_by_country,1510000
Mozambique,Africa,Africa,Non-NATO,labor_force_by_country,15191000
Tunisia,Africa,Africa,Non-NATO,labor_force_by_country,4445000
Armenia,Asia,Asia,Non-NATO,labor_force_by_country,1356000
Tanzania,Africa,Africa,Non-NATO,labor_force_by_country,31219000
Cameroon,Africa,Africa,Non-NATO,labor_force_by_country,11965000
Georgia,Asia,Asia,Non-NATO,labor_force_by_country,1853000
Cambodia,Southeast Asia,Asia,Non-NATO,labor_force_by_country,9175000
Slovenia,Balkans,Europe,NATO,labor_force_by_country,1055000
Ireland,Northern Europe,Europe,Non-NATO,labor_force_by_country,2766000
Mongolia,Asia-Pacific,Asia,Non-NATO,labor_force_by_country,1403000
Latvia,Northern Europe,Europe,NATO,labor_force_by_country,978000
Uruguay,Latin America,South America,Non-NATO,labor_force_by_country,1775000
Honduras,Central America,North America,Non-NATO,labor_force_by_country,4676000
Ivory Coast,Africa,Africa,Non-NATO,labor_force_by_country,10954000
Guatemala,Central America,North America,Non-NATO,labor_force_by_country,7258000
Mali,Africa,Africa,Non-NATO,labor_force_by_country,8277000
Kyrgyzstan,Asia,Asia,Non-NATO,labor_force_by_country,3069000
Laos,Southeast Asia,Asia,Non-NATO,labor_force_by_country,3174000
Estonia,Northern Europe,Europe,NATO,labor_force_by_country,752000
Tajikistan,Asia,Asia,Non-NATO,labor_force_by_country,2677000
Zambia,Africa,Africa,Non-NATO,labor_force_by_country,7051000
Ghana,Africa,Africa,Non-NATO,labor_force_by_country,14887000
Zimbabwe,Africa,Africa,Non-NATO,labor_force_by_country,6561000
North Macedonia,Balkans,Europe,Non-NATO,labor_force_by_country,801000
South Sudan,Africa,Africa,Non-NATO,labor_force_by_country,4471000
Uganda,Africa,Africa,Non-NATO,labor_force_by_country,18881000
Lebanon,Middle East,Asia,Non-NATO,labor_force_by_country,1771000
Namibia,Africa,Africa,Non-NATO,labor_force_by_country,989000
Luxembourg,Western Europe,Europe,NATO,labor_force_by_country,352000
Afghanistan,Asia,Asia,Non-NATO,labor_force_by_country,8921000
Niger,Africa,Africa,Non-NATO,labor_force_by_country,10237000
Eritrea,Africa,Africa,Non-NATO,labor_force_by_country,1800000
Republic of the Congo,Africa,Africa,Non-NATO,labor_force_by_country,2461000
Botswana,Africa,Africa,Non-NATO,labor_force_by_country,1170000
Mauritania,Africa,Africa,Non-NATO,labor_force_by_country,1179000
Dominican Republic,Central America,North America,Non-NATO,labor_force_by_country,5302000
Senegal,Africa,Africa,Non-NATO,labor_force_by_country,5257000
Nepal,Asia-Pacific,Asia,Non-NATO,labor_force_by_country,8937000
Montenegro,Balkans,Europe,NATO,labor_force_by_country,286000
El Salvador,Central America,North America,Non-NATO,labor_force_by_country,2870000
Burkina Faso,Africa,Africa,Non-NATO,labor_force_by_country,8577000
Madagascar,Africa,Africa,Non-NATO,labor_force_by_country,15830000
Nicaragua,Central America,North America,Non-NATO,labor_force_by_country,3264000
Bosnia and Herzegovina,Balkans,Europe,Non-NATO,labor_force_by_country,1369000
Gabon,Africa,Africa,Non-NATO,labor_force_by_country,763000
Moldova,Eastern Europe,Europe,Non-NATO,labor_force_by_country,1464000
Iceland,Scandinavia,Europe,NATO,labor_force_by_country,239000
Panama,Central America,North America,Non-NATO,labor_force_by_country,2096000
Beliz,Central America,North America,Non-NATO,labor_force_by_country,190000
Liberia,Africa,Africa,Non-NATO,labor_force_by_country,2499000
Suriname,Northern South America,South America,Non-NATO,labor_force_by_country,250000
Sierra Leone,Africa,Africa,Non-NATO,labor_force_by_country,2913000
Kosovo,Southern Europe,Europe,Non-NATO,labor_force_by_country,500300
Somalia,Africa,Africa,Non-NATO,labor_force_by_country,3277000
Central African Republic,Africa,Africa,Non-NATO,labor_force_by_country,2114000
Benin,Africa,Africa,Non-NATO,labor_force_by_country,4964000
Bhutan,Asia,Asia,Non-NATO,labor_force_by_country,430000
United States,Northern America,North America,NATO,major_ports_and_terminals,666
Russia,Eastern Europe,Europe,Non-NATO,major_ports_and_terminals,67
China,Asia-Pacific,Asia,Non-NATO,major_ports_and_terminals,66
India,Asia-Pacific,Asia,Non-NATO,major_ports_and_terminals,56
South Korea,Asia-Pacific,Asia,Non-NATO,major_ports_and_terminals,15
United Kingdom,Northern Europe,Europe,NATO,major_ports_and_terminals,185
France,Western Europe,Europe,NATO,major_ports_and_terminals,66
Japan,Asia-Pacific,Asia,Non-NATO,major_ports_and_terminals,163
Turkiye,Middle East,Asia,NATO,major_ports_and_terminals,54
Italy,Southern Europe,Europe,NATO,major_ports_and_terminals,123
Brazil,Latin America,South America,Non-NATO,major_ports_and_terminals,45
Pakistan,Asia-Pacific,Asia,Non-NATO,major_ports_and_terminals,3
Indonesia,Southeast Asia,Asia,Non-NATO,major_ports_and_terminals,123
Germany,Central Europe,Europe,NATO,major_ports_and_terminals,35
Israel,Middle East,Asia,Non-NATO,major_ports_and_terminals,5
Iran,Middle East,Asia,Non-NATO,major_ports_and_terminals,18
Spain,Southern Europe,Europe,NATO,major_ports_and_terminals,52
Australia,Asia-Pacific,Oceania,Non-NATO,major_ports_and_terminals,66
Egypt,Africa,Africa,Non-NATO,major_ports_and_terminals,31
Ukraine,Eastern Europe,Europe,Non-NATO,major_ports_and_terminals,26
Poland,Eastern Europe,Europe,NATO,major_ports_and_terminals,10
Taiwan,Asia-Pacific,Asia,Non-NATO,major_ports_and_terminals,8
Vietnam,Southeast Asia,Asia,Non-NATO,major_ports_and_terminals,16
Saudi Arabia,Middle East,Asia,Non-NATO,major_ports_and_terminals,16
Thailand,Southeast Asia,Asia,Non-NATO,major_ports_and_terminals,21
Algeria,Africa,Africa,Non-NATO,major_ports_and_terminals,17
Sweden,Scandinavia,Europe,NATO,major_ports_and_terminals,92
Canada,Northern America,North America,NATO,major_ports_and_terminals,284
Singapore,Southeast Asia,Asia,Non-NATO,major_ports_and_terminals,5
Greece,Southern Europe,Europe,NATO,major_ports_and_terminals,57
Nigeria,Africa,Africa,Non-NATO,major_ports_and_terminals,28
Mexico,Mexico,North America,Non-NATO,major_ports_and_terminals,35
Argentina,Latin America,South America,Non-NATO,major_ports_and_terminals,37
North Korea,Asia-Pacific,Asia,Non-NATO,major_ports_and_terminals,10
Bangladesh,Asia-Pacific,Asia,Non-NATO,major_ports_and_terminals,2
Netherlands,Western Europe,Europe,NATO,major_ports_and_terminals,18
Myanmar,Southeast Asia,Asia,Non-NATO,major_ports_and_terminals,7
Norway,Scandinavia,Europe,NATO,major_ports_and_terminals,141
Portugal,Southern Europe,Europe,NATO,major_ports_and_terminals,18
South Africa,Africa,Africa,Non-NATO,major_ports_and_terminals,8
Philippines,Southeast Asia,Asia,Non-NATO,major_ports_and_terminals,70
Malaysia,Southeast Asia,Asia,Non-NATO,major_ports_and_terminals,35
Iraq,Middle East,Asia,Non-NATO,major_ports_and_terminals,6
Switzerland,Central Europe,Europe,Non-NATO,major_ports_and_terminals,0
Denmark,Scandinavia,Europe,NATO,major_ports_and_terminals,69
Colombia,Latin America,South America,Non-NATO,major_ports_and_terminals,14
Chile,Latin America,South America,Non-NATO,major_ports_and_terminals,39
Finland,Scandinavia,Europe,NATO,major_ports_and_terminals,37
Peru,Latin America,South America,Non-NATO,major_ports_and_terminals,20
Venezuela,Latin America,South America,Non-NATO,major_ports_and_terminals,31
Romania,Eastern Europe,Europe,Non-NATO,major_ports_and_terminals,11
Ethiopia,Africa,Africa,Non-NATO,major_ports_and_terminals,0
Czechia,Eastern Europe,Europe,NATO,major_ports_and_terminals,0
United Arab Emirates,Middle East,Asia,Non-NATO,major_ports_and_terminals,20
Hungary,Eastern Europe,Europe,NATO,major_ports_and_terminals,0
Angola,Africa,Africa,Non-NATO,major_ports_and_terminals,21
Kazakhstan,Asia,Asia,Non-NATO,major_ports_and_terminals,0
Uzbekistan,Asia,Asia,Non-NATO,major_ports_and_terminals,0
Morocco,Africa,Africa,Non-NATO,major_ports_and_terminals,12
Azerbaijan,Asia,Asia,Non-NATO,major_ports_and_terminals,0
Belgium,Western Europe,Europe,NATO,major_ports_and_terminals,7
Bulgaria,Eastern Europe,Europe,NATO,major_ports_and_terminals,2
Serbia,Balkans,Europe,Non-NATO,major_ports_and_terminals,0
Syria,Middle East,Asia,Non-NATO,major_ports_and_terminals,3
Ecuador,Latin America,South America,Non-NATO,major_ports_and_terminals,6
Democratic Republic of the Congo,Africa,Africa,Non-NATO,major_ports_and_terminals,3
Cuba,Central America,North America,Non-NATO,major_ports_and_terminals,34
Austria,Central Europe,Europe,Non-NATO,major_ports_and_terminals,0
Sri Lanka,Asia-Pacific,Asia,Non-NATO,major_ports_and_terminals,6
Belarus,Eastern Europe,Europe,Non-NATO,major_ports_and_terminals,0
Slovakia,Eastern Europe,Europe,NATO,major_ports_and_terminals,0
Qatar,Middle East,Asia,Non-NATO,major_ports_and_terminals,6
Sudan,Africa,Africa,Non-NATO,major_ports_and_terminals,4
Croatia,Balkans,Europe,NATO,major_ports_and_terminals,16
Jordan,Middle East,Asia,Non-NATO,major_ports_and_terminals,1
Libya,Africa,Africa,Non-NATO,major_ports_and_terminals,14
Turkmenistan,Asia,Asia,Non-NATO,major_ports_and_terminals,0
Albania,Balkans,Europe,NATO,major_ports_and_terminals,3
Kuwait,Gulf Powers,Asia,Non-NATO,major_ports_and_terminals,6
Bolivia,Latin America,South America,Non-NATO,major_ports_and_terminals,0
Bahrain,Gulf Powers,Asia,Non-NATO,major_ports_and_terminals,4
Oman,Gulf Powers,Asia,Non-NATO,major_ports_and_terminals,7
Kenya,Africa,Africa,Non-NATO,major_ports_and_terminals,4
Chad,Africa,Africa,Non-NATO,major_ports_and_terminals,0
Yemen,Middle East,Asia,Non-NATO,major_ports_and_terminals,10
New Zealand,Asia-Pacific,Oceania,Non-NATO,major_ports_and_terminals,22
Paraguay,Latin America,South America,Non-NATO,major_ports_and_terminals,1
Lithuania,Northern Europe,Europe,NATO,major_ports_and_terminals,2
Mozambique,Africa,Africa,Non-NATO,major_ports_and_terminals,11
Tunisia,Africa,Africa,Non-NATO,major_ports_and_terminals,16
Armenia,Asia,Asia,Non-NATO,major_ports_and_terminals,0
Tanzania,Africa,Africa,Non-NATO,major_ports_and_terminals,8
Cameroon,Africa,Africa,Non-NATO,major_ports_and_terminals,7
Georgia,Asia,Asia,Non-NATO,major_ports_and_terminals,3
Cambodia,Southeast Asia,Asia,Non-NATO,major_ports_and_terminals,2
Slovenia,Balkans,Europe,NATO,major_ports_and_terminals,2
Ireland,Northern Europe,Europe,Non-NATO,major_ports_and_terminals,21
Mongolia,Asia-Pacific,Asia,Non-NATO,major_ports_and_terminals,0
Latvia,Northern Europe,Europe,NATO,major_ports_and_terminals,5
Uruguay,Latin America,South America,Non-NATO,major_ports_and_terminals,8
Honduras,Central America,North America,Non-NATO,major_ports_and_terminals,8
Ivory Coast,Africa,Africa,Non-NATO,major_ports_and_terminals,5
Guatemala,Central America,North America,Non-NATO,major_ports_and_terminals,3
Mali,Africa,Africa,Non-NATO,major_ports_and_terminals,0
Kyrgyzstan,Asia,Asia,Non-NATO,major_ports_and_terminals,0
Laos,Southeast Asia,Asia,Non-NATO,major_ports_and_terminals,0
Estonia,Northern Europe,Europe,NATO,major_ports_and_terminals,20
Tajikistan,Asia,Asia,Non-NATO,major_ports_and_terminals,0
Zambia,Africa,Africa,Non-NATO,major_ports_and_terminals,0
Ghana,Africa,Africa,Non-NATO,major_ports_and_terminals,4
Zimbabwe,Africa,Africa,Non-NATO,major_ports_and_terminals,0
North Macedonia,Balkans,Europe,Non-NATO,major_ports_and_terminals,0
South Sudan,Africa,Africa,Non-NATO,major_ports_and_terminals,0
Uganda,Africa,Africa,Non-NATO,major_ports_and_terminals,0
Lebanon,Middle East,Asia,Non-NATO,major_ports_and_terminals,5
Namibia,Africa,Africa,Non-NATO,major_ports_and_terminals,2
Luxembourg,Western Europe,Europe,NATO,major_ports_and_terminals,0
Afghanistan,Asia,Asia,Non-NATO,major_ports_and_terminals,0
Niger,Africa,Africa,Non-NATO,major_ports_and_terminals,0
Eritrea,Africa,Africa,Non-NATO,major_ports_and_terminals,2
Republic of the Congo,Africa,Africa,Non-NATO,major_ports_and_terminals,5
Botswana,Africa,Africa,Non-NATO,major_ports_and_terminals,0
Mauritania,Africa,Africa,Non-NATO,major_ports_and_terminals,2
Dominican Republic,Central America,North America,Non-NATO,major_ports_and_terminals,17
Senegal,Africa,Africa,Non-NATO,major_ports_and_terminals,6
Nepal,Asia-Pacific,Asia,Non-NATO,major_ports_and_terminals,0
Montenegro,Balkans,Europe,NATO,major_ports_and_terminals,4
El Salvador,Central America,North America,Non-NATO,major_ports_and_terminals,3
Burkina Faso,Africa,Africa,Non-NATO,major_ports_and_terminals,0
Madagascar,Africa,Africa,Non-NATO,major_ports_and_terminals,13
Nicaragua,Central America,North America,Non-NATO,major_ports_and_terminals,5
Bosnia and Herzegovina,Balkans,Europe,Non-NATO,major_ports_and_terminals,1
Gabon,Africa,Africa,Non-NATO,major_ports_and_terminals,9
Moldova,Eastern Europe,Europe,Non-NATO,major_ports_and_terminals,0
Iceland,Scandinavia,Europe,NATO,major_ports_and_terminals,43
Panama,Central America,North America,Non-NATO,major_ports_and_terminals,12
Beliz,Central America,North America,Non-NATO,major_ports_and_terminals,2
Liberia,Africa,Africa,Non-NATO,major_ports_and_terminals,4
Suriname,Northern South America,South America,Non-NATO,major_ports_and_terminals,4
Sierra Leone,Africa,Africa,Non-NATO,major_ports_and_terminals,3
Kosovo,Southern Europe,Europe,Non-NATO,major_ports_and_terminals,0
Somalia,Africa,Africa,Non-NATO,major_ports_and_terminals,6
Central African Republic,Africa,Africa,Non-NATO,major_ports_and_terminals,0
Benin,Africa,Africa,Non-NATO,major_ports_and_terminals,1
Bhutan,Asia,Asia,Non-NATO,major_ports_and_terminals,0
United States,Northern America,North America,NATO,merchant_marine_strength_by_country,3533
Russia,Eastern Europe,Europe,Non-NATO,merchant_marine_strength_by_country,2910
China,Asia-Pacific,Asia,Non-NATO,merchant_marine_strength_by_country,8314
India,Asia-Pacific,Asia,Non-NATO,merchant_marine_strength_by_country,1859
South Korea,Asia-Pacific,Asia,Non-NATO,merchant_marine_strength_by_country,2149
United Kingdom,Northern Europe,Europe,NATO,merchant_marine_strength_by_country,868
France,Western Europe,Europe,NATO,merchant_marine_strength_by_country,553
Japan,Asia-Pacific,Asia,Non-NATO,merchant_marine_strength_by_country,5229
Turkiye,Middle East,Asia,NATO,merchant_marine_strength_by_country,1170
Italy,Southern Europe,Europe,NATO,merchant_marine_strength_by_country,1276
Brazil,Latin America,South America,Non-NATO,merchant_marine_strength_by_country,888
Pakistan,Asia-Pacific,Asia,Non-NATO,merchant_marine_strength_by_country,60
Indonesia,Southeast Asia,Asia,Non-NATO,merchant_marine_strength_by_country,11422
Germany,Central Europe,Europe,NATO,merchant_marine_strength_by_country,595
Israel,Middle East,Asia,Non-NATO,merchant_marine_strength_by_country,41
Iran,Middle East,Asia,Non-NATO,merchant_marine_strength_by_country,965
Spain,Southern Europe,Europe,NATO,merchant_marine_strength_by_country,503
Australia,Asia-Pacific,Oceania,Non-NATO,merchant_marine_strength_by_country,604
Egypt,Africa,Africa,Non-NATO,merchant_marine_strength_by_country,441
Ukraine,Eastern Europe,Europe,Non-NATO,merchant_marine_strength_by_country,410
Poland,Eastern Europe,Europe,NATO,merchant_marine_strength_by_country,152
Taiwan,Asia-Pacific,Asia,Non-NATO,merchant_marine_strength_by_country,465
Vietnam,Southeast Asia,Asia,Non-NATO,merchant_marine_strength_by_country,1973
Saudi Arabia,Middle East,Asia,Non-NATO,merchant_marine_strength_by_country,433
Thailand,Southeast Asia,Asia,Non-NATO,merchant_marine_strength_by_country,884
Algeria,Africa,Africa,Non-NATO,merchant_marine_strength_by_country,119
Sweden,Scandinavia,Europe,NATO,merchant_marine_strength_by_country,361
Canada,Northern America,North America,NATO,merchant_marine_strength_by_country,716
Singapore,Southeast Asia,Asia,Non-NATO,merchant_marine_strength_by_country,3202
Greece,Southern Europe,Europe,NATO,merchant_marine_strength_by_country,1215
Nigeria,Africa,Africa,Non-NATO,merchant_marine_strength_by_country,928
Mexico,Mexico,North America,Non-NATO,merchant_marine_strength_by_country,674
Argentina,Latin America,South America,Non-NATO,merchant_marine_strength_by_country,201
North Korea,Asia-Pacific,Asia,Non-NATO,merchant_marine_strength_by_country,264
Bangladesh,Asia-Pacific,Asia,Non-NATO,merchant_marine_strength_by_country,558
Netherlands,Western Europe,Europe,NATO,merchant_marine_strength_by_country,1187
Myanmar,Southeast Asia,Asia,Non-NATO,merchant_marine_strength_by_country,101
Norway,Scandinavia,Europe,NATO,merchant_marine_strength_by_country,1720
Portugal,Southern Europe,Europe,NATO,merchant_marine_strength_by_country,996
South Africa,Africa,Africa,Non-NATO,merchant_marine_strength_by_country,110
Philippines,Southeast Asia,Asia,Non-NATO,merchant_marine_strength_by_country,2203
Malaysia,Southeast Asia,Asia,Non-NATO,merchant_marine_strength_by_country,1750
Iraq,Middle East,Asia,Non-NATO,merchant_marine_strength_by_country,74
Switzerland,Central Europe,Europe,Non-NATO,merchant_marine_strength_by_country,17
Denmark,Scandinavia,Europe,NATO,merchant_marine_strength_by_country,715
Colombia,Latin America,South America,Non-NATO,merchant_marine_strength_by_country,153
Chile,Latin America,South America,Non-NATO,merchant_marine_strength_by_country,249
Finland,Scandinavia,Europe,NATO,merchant_marine_strength_by_country,282
Peru,Latin America,South America,Non-NATO,merchant_marine_strength_by_country,111
Venezuela,Latin America,South America,Non-NATO,merchant_marine_strength_by_country,272
Romania,Eastern Europe,Europe,Non-NATO,merchant_marine_strength_by_country,127
Ethiopia,Africa,Africa,Non-NATO,merchant_marine_strength_by_country,12
Czechia,Eastern Europe,Europe,NATO,merchant_marine_strength_by_country,0
United Arab Emirates,Middle East,Asia,Non-NATO,merchant_marine_strength_by_country,655
Hungary,Eastern Europe,Europe,NATO,merchant_marine_strength_by_country,1
Angola,Africa,Africa,Non-NATO,merchant_marine_strength_by_country,64
Kazakhstan,Asia,Asia,Non-NATO,merchant_marine_strength_by_country,122
Uzbekistan,Asia,Asia,Non-NATO,merchant_marine_strength_by_country,0
Morocco,Africa,Africa,Non-NATO,merchant_marine_strength_by_country,94
Azerbaijan,Asia,Asia,Non-NATO,merchant_marine_strength_by_country,312
Belgium,Western Europe,Europe,NATO,merchant_marine_strength_by_country,198
